"","Site","Plot","SBAPC","SBA","Soil_Type","Sward","CerDungPro","EqqDungPro","Fungi","Ilexno","Fagusno","IlexJuv","FagusJuv","TotJuv","Cervus.DungTot","Eqqus.DungTot","CompTot","CompGF","CompTree","DungTot","DungTotPro","LichenRichOth","LichenRichTot","LichenRicHol","LichenRichBeech","IlexSL","FagusSL","QuerSL","TotSL","BD..g.cm3.","Depth","SnagTot","SnagFagus","SnagIlex","SnagQuer","Fagus.deadwood..m3.","Ilex.Lying.Deadwood..m3.","Quercus.Lying.Deadwood..m3.","Lying.Deadwood.Total..m3.","LOIO","LOIM","NO3O","NO3M","NH4O","NH4M","PMNO","PMNM","CNRatioSoil","K","Ca","Mg","Na","Al","Mn","Fe","P","MF_Min","MF_Org","pH","EC","Soil_Respiration","Soil_Temp","Amb_Temp","MFSR","C_Storage..tonnes.hectares.","Biomass..m3.ha.","Clay","Silt","Sand","Bracken","Moss","BareGround","BG.M","Litter","Trampling","IlexEat","Grass","Canopy_openness","Under_openness","Canopy.Openness.Total","X100Clay","X100Silt","X100Sand","X100Bracken","X100Moss","X100BareGround","X100BG.M","X100Litter","X100Trampling","X100Hollyshrub","X100Rubusshrub","X100IlexEat","X100Grass","X100Canopy_openness","X100Under_openness","X100Canopy_Open_Total","X100LOIO","X100LOIM"
"1","BlackBush","1 - Intact",0,63.2,71107,0,57,23,11,2,9,26,0,26,88,50,7,4,3,138,80,0,41,12,29,165,2,0,2,1.387669642,3,6231.965844,0,6231.965844,0,0.293508163,0,0,0.293508163,67.51719154,7.088558993,2.364748309,0.149300021,12.61675436,3.830834867,154.7787194,5.296610169,19.22310375,0.177138697,0.313668779,0.266170646,0.078874284,4.571811494,0.061732118,0.027646558,3.445,1.218288167,2.133166061,4.27,1117,56,13.48,15.8,1.874713573,347.0148315,363.2212077,17,30,53,1,1,1,2,100,5,0.458333333,0,3.25,0,3.25,0.17,0.3,0.53,0.01,0.01,0.01,0.02,0.999,0.05,0.01,0.001,0.004583333,0.001,0.0325,0.001,0.0325,0.675171915,0.07088559
"2","BlackBush","2 - Slight",0.244778481,47.73,71107,0,273,3,9,2,5,0,0,0,360,12,11,7,4,372,276,5,29,2,22,154,0,0,0,1.501587611,4.4,29699.81688,29579.66824,120.1486402,0,0.361664996,0.029393134,0.061473774,0.452531904,43.94826994,8.121015463,3.057002842,0.484183589,8.641706867,4.848736373,80.62617702,11.96641557,21.76976066,0.104228535,0.207094243,0.199797002,0.080053114,3.59418977,0.017687611,0.031838749,3.64,1.316979363,2.757627391,4.24,68.1,54,14.02,16.2,1.162116635,305.6241126,312.0014199,17,32,51,0,5,0,5,95,5,0.518518519,1,8.45,0.78,9.23,0.17,0.32,0.51,0.001,0.05,0.001,0.05,0.95,0.05,0.01,0.01,0.005185185,0.01,0.0845,0.0078,0.0923,0.439482699,0.081210155
"3","BlackBush","3 - Moderate",0.467244667,33.67,71107,13,141,0,7,5,4,0,0,0,154,0,15,12,3,154,141,0,32,13,19,141,0,1,1,1.552986434,2.68,172.2924809,0,172.2924809,0,0.846192081,0.064207282,0,0.910399363,71.9422419,6.144644075,6.504452586,1.49752332,12.32935042,5.274080667,169.6876962,26.2868801,16.06002479,0.117702751,0.734078099,0.563249872,0.053739301,3.210799222,0.153716141,0.009093383,4.4599,1.286293715,2.238901048,4.37,150.9,39,15.44,19.8,0.910435684,226.9657381,213.4926794,15,27,58,1,1,1,2,30,5,0.485148515,70,22.555,0,22.555,0.15,0.27,0.58,0.01,0.01,0.01,0.02,0.3,0.05,0.01,0.01,0.004851485,0.7,0.22555,0.001,0.22555,0.719422419,0.061446441
"4","BlackBush","4 - Major",0.713677632,18.1,71107,24,116,0,6,3,1,4,0,4,177,0,12,10,2,177,116,0,28,10,18,66,0,0,0,1.432708183,3.85,14906.5643,7661.607912,7244.956383,0,2.784405185,0.085449435,0,2.86985462,36.52355864,5.727937735,2.976785498,0.746948369,29.6062239,8.548254865,123.3913999,10.59322034,20.40510022,0.244409253,0.58866861,0.443119149,0.075114955,3.696296618,0.029561873,0.022589477,3.2431,1.224880409,3.114908345,4.24,80.7,42,15.26,20.8,0.469814285,194.5734579,210.5571257,20,31,49,75,1,0,1,25,5,0.421568628,1,32.955,0,32.955,0.2,0.31,0.49,0.75,0.01,0.001,0.01,0.25,0.05,0.01,0.01,0.004215686,0.01,0.32955,0.001,0.32955,0.365235586,0.057279377
"5","BlackBush","5 - Total",1,0,71107,39,90,4,2,10,0,0,0,0,93,17,23,17,6,110,94,11,38,17,10,137,3,1,5,1.657783342,4,37812.86214,37812.86214,0,0,0.636241627,0,3.00782678,3.644068407,72.6652184,8.818618642,4.835796149,1.896707248,5.229925531,6.583697336,95.92749529,26.67922159,18.12972237,0.131342221,0.970947611,0.400231993,0.046345881,5.331967043,0.105205694,0.033477833,4.2672,1.321372716,1.860359225,4.58,49.9,45,15.78,22.1,1.254678168,104.3861209,53.41886018,17,28,55,0,30,5,35,20,5,0.61,25,53.56,14.69,68.25,0.17,0.28,0.55,0.001,0.3,0.05,0.35,0.2,0.05,0.15,0.25,0.0061,0.25,0.5356,0.1469,0.6825,0.726652184,0.088186186
"6","Bramshaw","1 - Intact",0,62.49,71107,0,319,11,6,5,3,2,0,2,424,34,5,1,4,458,330,7,35,10,18,0,0,0,0,1.651447496,12.55,2484.446154,0,2484.446154,0,0,0,0,0,37.27100785,7.765412941,2.413099042,0.217508782,26.28846615,7.570132026,39.25898663,11.19494541,28.39206524,0.131422371,0.127497814,0.300370762,0.090576441,3.640537934,0.003039446,0.187906685,3.6464,1.344204273,2.794060635,4.07,114.4,51,15.34,17.8,1.969741145,401.5476033,419.9691148,23,32,45,0,1,0,1,99,10,0.85,0,4.056,0,4.056,0.23,0.32,0.45,0.001,0.01,0.001,0.01,0.99,0.1,0.01,0.001,0.0085,0.001,0.04056,0.001,0.04056,0.372710079,0.077654129
"7","Bramshaw","2 - Slight",0.227869448,48.25,71107,0,370,4,18,8,5,22,1,23,489,9,15,11,4,498,374,8,38,9,21,4,0,0,0,1.387929812,5.4,815.2477463,0,815.2477463,0,0.268443804,0,0,0.268443804,44.61053582,5.512117344,0.425710467,0.47509447,41.09653375,8.202354205,76.21764201,16.40902957,19.86832903,0.123376534,0.17870508,0.190787142,0.045870823,2.785377351,0.076323345,0.022497213,13.9527,1.304926145,3.309594805,4.46,66.5,50,15.88,18,1.346145845,238.7897899,252.7563384,21,38,41,1,1,0,1,94,5,0.643564356,5,7.384,1.144,8.528,0.21,0.38,0.41,0.01,0.01,0.001,0.01,0.94,0.05,0.01,0.01,0.006435644,0.05,0.07384,0.01144,0.08528,0.446105358,0.055121173
"8","Bramshaw","3 - Moderate",0.510694062,30.58,71107,14,112,48,11,10,2,36,0,36,167,98,14,9,5,265,160,0,24,11,13,5,0,0,0,1.666909015,5.25,0,0,0,0,5.675534134,0,0,5.675534134,50.27012764,4.930661302,0.958976488,0,40.38858731,7.543865228,81.58508159,11.19494541,23.31496465,0.070111281,0.091148759,0.122309663,0.036332433,2.872816906,0.006705635,0.018552628,4.439,1.256180704,2.899305581,4.33,54.1,46,16,23.1,2.121751315,271.732231,301.9967513,24,38,38,15,10,1,11,85,15,0.31,12,12.532,14.456,26.988,0.24,0.38,0.38,0.15,0.1,0.01,0.11,0.85,0.15,0.02,0.01,0.0031,0.12,0.12532,0.14456,0.26988,0.502701276,0.049306613
"9","Bramshaw","4 - Major",0.710823082,18.07,71107,14,126,0,11,7,2,90,0,90,218,0,11,11,0,218,126,2,38,20,16,122,2,2,4,1.587473716,7.5,21600.81592,21600.81592,0,0,8.247022076,0,0,8.247022076,43.91294797,4.231677548,1.13707104,0.390745894,41.9214632,8.209801228,52.60090786,6.59428291,24.48665422,0.082468027,0.206719871,0.14684333,0.040664043,1.700836991,0.038895434,0.018174615,6.0416,1.207404813,2.812700273,3.97,85.2,51,16.8,23.5,2.187591461,191.6954637,230.2614859,20,35,45,50,1,1,2,48,15,0.4,1,26.52,35.36,61.88,0.2,0.35,0.45,0.5,0.01,0.01,0.02,0.48,0.15,0.01,0.01,0.004,0.01,0.2652,0.3536,0.6188,0.43912948,0.042316775
"10","Bramshaw","5 - Total",1,0,71107,148,681,4,8,2,0,53,0,53,907,13,20,13,7,920,685,0,18,7,11,20,0,2,8,1.395975552,5.9,15158.63537,15008.15256,150.4828117,0,16.91066635,0.1186537,0,17.02932005,48.03923514,4.496095464,2.643736868,0.355027268,49.93370254,10.49675228,81.27837075,9.201324991,24.48665422,0.116407675,0.286500098,0.168932811,0.028795491,1.848258743,0.009081876,0.155844763,5.2392,1.253753438,3.12765566,4.45,81.9,32,18.34,23.2,1.385414211,163.139343,234.8481601,27,34,39,70,2,2,4,50,75,0.55,15,59.904,21.84,81.744,0.27,0.34,0.39,0.7,0.02,0.02,0.04,0.5,0.75,0.05,0.01,0.0055,0.15,0.59904,0.2184,0.81744,0.480392351,0.044960955
