"","Site","Plot","SBAPC","X100Crown_Loss","X100Leave_Loss","X100Crown_Condition","X100Discolouration","X100Condition_unhealthiness"
"1","BlackBush","1 - Intact",0,-1.78448670989898,-1.94591014905531,-3.77148298264915,-1.30992138233532,-1.93736613125528
"2","BlackBush","2 - Slight",0.244778481,-2.75153531304195,-1.55059741241117,-3.89182029811063,-2.58668934409794,-2.4254832293172
"3","BlackBush","3 - Moderate",0.467244667,-1.73460105538811,-1.55059741241117,-3.77148298264915,-2.63905732425812,-2.15847770315082
"4","BlackBush","4 - Major",0.713677632,-2.94443897916644,-2.19722457733622,-3.47609868983527,-1.38629436111989,-2.25405805209939
"6","Bramshaw","1 - Intact",0,-4.07753742356674,-1.73460105538811,-3.59731224774598,0,-1.56218502990986
"7","Bramshaw","2 - Slight",0.227869448,-1.97897101533342,-1.25736068022994,-3.82136865759797,-1.21639532189394,-1.7486758808286
"8","Bramshaw","3 - Moderate",0.510694062,-2.94443897916644,-1.38629436111989,-3.47609868983527,-0.405465108108164,-1.58562726374038
"9","Bramshaw","4 - Major",0.710823082,-1.6094379100341,-0.847297860387204,-3.47609868983527,0.336472235249784,-0.994622575144062
"11","Brinken","1 - Intact",0,-6.90675477864855,-2.04769284618784,-3.75536918898657,-1.52605630057331,-2.45699431025875
"12","Brinken","2 - Slight",0.23069536,-2.94443897916644,-0.769133085997431,-3.47609868983527,0.619039208406224,-1.03732396297147
"13","Brinken","3 - Moderate",0.486219101,-2.94443897916644,-0.693147182059945,-3.47609868983527,0.619039208406224,-1.01586652485928
"14","Brinken","4 - Major",0.729098187,-3.66356164612965,-1.09861228866811,-3.47609868983527,-1.23676262714893,-1.87903286639474
"16","Brockis Hill","1 - Intact",0,-2.46191712564364,-1.38629436111989,-3.82136865759797,-1.47810190848367,-1.97897101533342
"17","Brockis Hill","2 - Slight",0.259049231,-3.78418964414553,-1.53147636944412,-4.01186832767162,-0.847297860387204,-1.90587978386031
"18","Brockis Hill","3 - Moderate",0.491061903,-2.94443897916644,-1.73460105538811,-3.89182029811063,-1.30992138233532,-2.11003802297906
"19","Brockis Hill","4 - Major",0.724669267,-2.4423470353692,-1.38629436111989,-3.7944672166765,-0.895384047054842,-1.7503742530652
"21","DennyWood","1 - Intact",0,-1.47810190848367,-2.23755262764194,-3.92891655486979,-2.27923772730111,-2.21319935312069
"22","DennyWood","2 - Slight",0.192463658,-2.65984810557821,-2.02438176126231,-3.81007544664123,-1.6094379100341,-2.28233999839219
"23","DennyWood","3 - Moderate",0.428697109,-2.29345260542744,-1.33500106875339,-3.81007544664123,-1.43921676042273,-1.91577604519105
"24","DennyWood","4 - Major",0.719054357,-0.693147182059945,0.302280871872934,-3.47609868983527,-2.94443897916644,-1.1142288933863
"26","Eyeworth","1 - Intact",0,-2.82005525947871,-2.0654552997051,-4.10327889095587,-2.47680943955538,-2.65592113566726
"27","Eyeworth","2 - Slight",0.1991393,-1.58562726374038,-1.73460105538811,-3.62331476562105,-0.885690291425438,-1.66195303062377
"28","Eyeworth","3 - Moderate",0.454558663,0.100083458556983,-0.510825623765991,-3.62331476562105,-1.31490830003571,-0.922657760127968
"29","Eyeworth","4 - Major",0.748899095,-2.19722457733622,-1.38629436111989,-3.17805383034795,-6.90675477864855,-2.3762728087852
"31","JamesHill","1 - Intact",0,-3.06805294559873,-1.45724609636695,-3.8366186521464,-1.28519824228453,-2.01364436499639
"32","JamesHill","2 - Slight",0.188955902,-2.0654552997051,-2.0654552997051,-4.12967785842225,-1.57973276037341,-2.16522915712594
"33","JamesHill","3 - Moderate",0.473029599,-0.881547782740457,-1.21639532189394,-3.52636050917499,-1.25736068022994,-1.43155095179028
"34","JamesHill","4 - Major",0.704274273,-2.51230562397611,-1.73460105538811,-3.66356164612965,-0.847297860387204,-1.83621123179889
"36","Malwood","1 - Intact",0,-2.46191712564364,-2.19722457733622,-3.63465788854293,-2.4423470353692,-2.57034643423265
"37","Malwood","2 - Slight",0.232806408,-2.75153531304195,-2.4423470353692,-3.9992195504583,-2.31363492918063,-2.71661556396113
"38","Malwood","3 - Moderate",0.489500091,-2.19722457733622,-1.4939250275386,-3.73426247458877,-0.927986773278933,-1.7543450333778
"39","Malwood","4 - Major",0.736769752,-1.09861228866811,-1.55059741241117,-3.89182029811063,-0.405465108108164,-1.31740714761814
"41","MarkAsh","1 - Intact",0,-4.77912353344766,-1.73460105538811,-3.81007544664123,-1.43921676042273,-2.27853128581951
"42","MarkAsh","2 - Slight",0.23116168,-3.66356164612965,-1.63974326192943,-3.66356164612965,-1.09861228866811,-2.03452898499901
"43","MarkAsh","3 - Moderate",0.498305469,-2.94443897916644,-1.09861228866811,-3.59731224774598,-1.87180217978621,-2.04065551664468
"44","MarkAsh","4 - Major",0.731016698,-2.19722457733622,-1.38629436111989,-3.47609868983527,0.405465108108164,-1.19424825443394
"46","Ridley","1 - Intact",0,-2.55304445827166,-1.73460105538811,-3.78418964414553,-2.47293045564318,-2.43482253938996
"47","Ridley","2 - Slight",0.242779436,-2.4423470353692,-1.09861228866811,-3.7944672166765,-2.15354951383356,-2.05051850221059
"48","Ridley","3 - Moderate",0.507331028,-1.38629436111989,-1.38629436111989,-3.89182029811063,-2.16975032178397,-1.89544393995863
"49","Ridley","4 - Major",0.793491159,-2.94443897916644,-0.969400557188103,-3.66356164612965,1.73460105538811,-0.847297860387204
"51","Shave Wood","1 - Intact",0,-3.29583685770803,-1.57553636377566,-3.89182029811063,-0.556810738241566,-1.75150762769872
"52","Shave Wood","2 - Slight",0.171398045,-1.73460105538811,-1.18958406873719,-3.81007544664123,-0.969400557188103,-1.58562726374038
"53","Shave Wood","3 - Moderate",0.469585733,-3.3672958403313,-1.4939250275386,-3.73426247458877,0.268263987952146,-1.37591004974375
"54","Shave Wood","4 - Major",0.6904738,-6.90675477864855,-2.94443897916644,-4.59511985013459,-4.59511985013459,-4.02789946281395
"56","WoodCrates","1 - Intact",0,-4.07753742356674,-1.73460105538811,-3.89182029811063,-0.546543704932663,-1.82920226950832
"57","WoodCrates","2 - Slight",0.470320496,-4.59511985013459,-1.65822807660353,-3.54715129428524,-0.994622575144062,-2.0211512658062
"58","WoodCrates","3 - Moderate",0.622714311,-2.94443897916644,-1.55059741241117,-3.47609868983527,0,-1.45815287988917
"59","WoodCrates","4 - Major",0.802421131,-2.19722457733622,-1.73460105538811,-3.47609868983527,-0.200670695462151,-1.49950072974886
